source,destination,time,source_name,destination_name,source_longitude,source_latitude,destination_longitude,destination_latitude,destination_latitude_center,destination_longitude_center,angle,LineText
60200299,60200282,7.0,Aspernstraße,Donaumarina,16.47486455,48.22260095,16.43126455,48.206269,-2.455484715146288,-6.555196016419567,1.212388656775935,U2
60200334,60200282,28.0,Floridsdorf,Donaumarina,16.40046095,48.25620495,16.43126455,48.206269,-23.830702295520243,14.700259456971711,0.5527260005686351,U2
60200357,60200282,16.0,Friedensbrücke,Donaumarina,16.36432205,48.22754785,16.43126455,48.206269,-4.846907155712256,15.248196320349019,1.263028927599853,U2
60200399,60200282,29.0,Zippererstraße,Donaumarina,16.41191055,48.180268,16.43126455,48.206269,23.262869882967834,17.315856456095613,0.6398791434635941,U2
60200425,60200282,30.0,Enkplatz,Donaumarina,16.414748799999998,48.174709,16.43126455,48.206269,26.580371618019242,13.909847038986348,0.4821233885577211,U2
60200436,60200282,28.0,Gumpendorfer Straße,Donaumarina,16.33756535,48.19083,16.43126455,48.206269,4.552232379523222,27.627471479721418,1.4074917209268634,U2
60200473,60200282,4.0,Hardeggasse,Donaumarina,16.45718535,48.2210065,16.43126455,48.206269,-1.9770286118992006,-3.4772629851266528,1.0538162221827807,U2
60200487,60200282,9.0,Hausfeldstraße,Donaumarina,16.485679400000002,48.23345995,16.43126455,48.206269,-4.0229722259059315,-8.05081949056054,1.1073909604194594,U2
60200491,60200282,19.0,Heiligenstadt,Donaumarina,16.3658084,48.24850995,16.43126455,48.206269,-10.30233507680207,15.964394506691875,0.9977096359373744,U2
60200500,60200282,24.0,Dresdner Straße,Donaumarina,16.3800655,48.237232500000005,16.43126455,48.206269,-12.419807310515193,20.536513491088826,1.0268789908486324,U2
60200506,60200282,18.0,Herrengasse,Donaumarina,16.36511745,48.209330949999995,16.43126455,48.206269,-0.8323289361145474,17.98074605076515,1.5245393360240909,U2
60200520,60200282,29.0,Hietzing,Donaumarina,16.3048134,48.18754495,16.43126455,48.206269,4.247812516142493,28.687211241731102,1.4237911282847664,U2
60200560,60200282,35.0,Hütteldorf,Donaumarina,16.260750350000002,48.1970034,16.43126455,48.206269,1.8990692619036742,34.948441108846225,1.5165105460773647,U2
60200606,60200282,27.0,Johnstraße,Donaumarina,16.32006205,48.19764705,16.43126455,48.206269,2.0871479872529792,26.919209001738995,1.4934173547687066,U2
60200615,60200282,31.0,Josefstädter Straße,Donaumarina,16.33919595,48.21169,16.43126455,48.206269,-1.8221244918119404,30.946403059747333,1.5119842193979558,U2
60200627,60200282,20.0,Kagran,Donaumarina,16.433178050000002,48.243263049999996,16.43126455,48.206269,-19.973299290669946,-1.0331095998602848,0.05167847957486252,U2
60200633,60200282,22.0,Kagraner Platz,Donaumarina,16.44340555,48.2504119,16.43126455,48.206269,-21.212309464490016,-5.834203217467432,0.26840206684396817,U2
60200641,60200282,17.0,"Kaisermühlen, V.I.C.",Donaumarina,16.41628995,48.2327719,16.43126455,48.206269,-14.800835986725088,8.36273006225022,0.5142997407304032,U2
60200653,60200282,24.0,Kardinal-Nagl-Platz,Donaumarina,16.4005419,48.19717705,16.43126455,48.206269,6.810505240005831,23.013409533918548,1.2830717757622379,U2
60200657,60200282,16.0,Karlsplatz,Donaumarina,16.369268666666667,48.20086866666667,16.43126455,48.206269,1.3884691960265938,15.939640939860762,1.4839077138103676,U2
60200666,60200282,25.0,Keplerplatz,Donaumarina,16.37604855,48.179557599999995,16.43126455,48.206269,10.887035227678862,22.504943100378625,1.1202233376365065,U2
60200670,60200282,20.0,Kettenbrückengasse,Donaumarina,16.35808785,48.19663495,16.43126455,48.206269,2.6105650443116573,19.82889180336153,1.4398945551238862,U2
60200743,60200282,15.0,Landstraße,Donaumarina,16.385223425,48.2063514,16.43126455,48.206269,-0.0268455217065289,14.99997597724624,1.5690066243923817,U2
