"FK_STEIG_ID_VON";"FK_STEIG_ID_NACH";"GEOMETRIE_WGS84"
214714651;214714653;"LINESTRING (16.3825165 48.1880576, 16.3823282 48.1880666, 16.3820054 48.1880578, 16.3817633 48.1880489, 16.3815212 48.188022, 16.3813329 48.1879951, 16.381037 48.1879592, 16.3807545 48.1878964, 16.3804048 48.1878156, 16.379786 48.1876719, 16.3792882 48.1875372, 16.3787771 48.1873845, 16.3784138 48.1872587, 16.378091 48.1871419, 16.3768802 48.1866747, 16.3763689 48.1863691, 16.3756693 48.1860906)"
214714653;214714655;"LINESTRING (16.3756582453359 48.1860850521246, 16.3756155 48.1860636, 16.3748891 48.1858031, 16.3732883 48.185255, 16.371849 48.1847878, 16.371432 48.1846351, 16.3709881 48.1844823, 16.3699389 48.1841499, 16.369374 48.1839792, 16.3684594 48.1836916, 16.3674506 48.1833592, 16.3670201 48.1832064, 16.3665225 48.1830177, 16.3656347 48.1826672, 16.3648008 48.1823436, 16.3637651 48.1819752, 16.3626218 48.1816067, 16.3604699 48.1809237, 16.3596092 48.1806811, 16.3581836 48.1803126, 16.3577974289591 48.1802147700112)"
214714663;214714665;"LINESTRING (16.2855582 48.1229623, 16.2856935 48.122036, 16.2869103 48.1136997, 16.2871401 48.1121799, 16.2873564 48.1106151, 16.2875186 48.109509, 16.2876539 48.1084749, 16.2877484 48.1078633, 16.2880053 48.1059658, 16.2881317421214 48.1050965340815)"
214714665;214714666;"LINESTRING (16.2881675 48.1048507, 16.2882215 48.104509, 16.2889647 48.0994281, 16.2891672 48.0981601, 16.2893156 48.0974227, 16.2894908 48.0967033, 16.2897735 48.0957861, 16.2903925 48.0941765, 16.2911053 48.0927198, 16.2916565 48.0917218, 16.2919254 48.0912992, 16.2923824 48.0906339, 16.295312 48.086471, 16.2957958 48.0857967)"
214714666;214714668;"LINESTRING (16.2958360433021 48.0857394738963, 16.2961183 48.0853381, 16.2978919 48.0828565, 16.2981874 48.0824429, 16.2993966 48.0807436, 16.2997459 48.08024, 16.3023654 48.0765535, 16.3038698 48.0744405, 16.3044876 48.0735683, 16.3047965 48.0731277, 16.3050517 48.0727141, 16.3052935 48.0723095, 16.3056294 48.071716, 16.3058174 48.0713293, 16.3061937 48.070493, 16.3063818 48.0699894, 16.3066103 48.069297, 16.3067582 48.0687574, 16.3068658 48.0683438, 16.3069735 48.0677772, 16.3070409 48.0672376, 16.3070814 48.066707, 16.307122 48.0661764, 16.3071089 48.0655559, 16.3070689 48.0650252, 16.3070022 48.0644766, 16.3069086 48.063865, 16.3067881 48.0633254, 16.3066275 48.0626688, 16.3064266 48.0621112, 16.3061855 48.0614726, 16.3058639 48.06078, 16.3056093 48.0602943, 16.3051938 48.0595927, 16.3048453 48.059053, 16.3045638 48.0586572, 16.303907 48.0578206, 16.3033038 48.057137, 16.3026066 48.0564263, 16.3019229 48.0557786, 16.2974319 48.051856)"
214714668;214714669;"LINESTRING (16.2974285251029 48.0518530452659, 16.2961987 48.0507763, 16.2938933 48.048761, 16.2910117 48.0462417, 16.2855844 48.0414819, 16.2854602436577 48.0413743323939)"
214714669;214714671;"LINESTRING (16.285169 48.041122, 16.2766885 48.0337073, 16.2742908 48.0316105, 16.2665097 48.024798, 16.2593377310929 48.0185148007247)"
214714671;214714672;"LINESTRING (16.259226 48.0184169, 16.2551297 48.0148257, 16.2473268 48.0079938, 16.2428826527879 48.0040935698585)"
214714672;214714674;"LINESTRING (16.2426702 48.0039071, 16.2315 47.9941125, 16.2304701 47.9932212, 16.2299619 47.992762, 16.2294805 47.9923119, 16.2290526 47.9919248, 16.2285445 47.9914117, 16.2279563 47.9907816, 16.2273949 47.9901605, 16.2269405 47.9896294, 16.2265263 47.9890894, 16.2261255 47.9885584, 16.2258585 47.9881445, 16.2255113 47.9876225, 16.2251642 47.9870376, 16.2248439 47.9864707, 16.2245904 47.9859758, 16.2243103 47.9853999, 16.224057 47.9848331, 16.2238305 47.9842753, 16.2236041 47.9836635, 16.2233912 47.9830157, 16.2232184 47.982404, 16.223059 47.9817653, 16.2229396 47.9812166, 16.2228339 47.9805689, 16.2227683 47.9799573, 16.2227291 47.9794716, 16.2227034 47.9789859, 16.2227049 47.9783204, 16.2227327 47.9778258, 16.2228283 47.9769985, 16.2231814 47.9747684, 16.2239967 47.969409)"
214714674;214714676;"LINESTRING (16.2240180476129 47.9692746648004, 16.2241053 47.9687256, 16.2250427 47.962503, 16.2254905 47.9597154, 16.2265903 47.9525125, 16.2267395 47.9516223, 16.2267935 47.9513795)"
